"作品Title/曲名","Video /BGA      (optional)","sequenceId","bg","提交時間","ID","Created Date","Updated Date","Owner","作品Title/曲名的複本","isDQ"
"おうた・インザ・レイン (feat. 雨衣)","","223","wix:image://v1/6ae697_10843b545b4c44f9a75166d9bedf6871~mv2.jpg/bg.jpg#originWidth=1400&originHeight=1400","2026-04-21T05:01:47Z","work-row-0056","2026-04-21T05:01:47Z","2026-05-03T07:30:43Z","user-0148","","true"
"マジック・メイド","wix:video://v1/feb1b2_6dc95748890f4bf589651312a8906f9f/PV.mp4#posterUri=feb1b2_6dc95748890f4bf589651312a8906f9ff001.jpg&posterWidth=640&posterHeight=360","211","wix:image://v1/feb1b2_f60f515fa0d141ef9d4966973f93ea7a~mv2.jpg/bg.jpg#originWidth=1600&originHeight=1600","2026-04-18T19:11:58Z","work-row-0057","2026-04-18T19:11:59Z","2026-05-09T16:54:27Z","user-0089","","true"
"カラフルボイス","wix:video://v1/2f3700_868c4a4a7da9439bafd1d7ade7191cdd/bg.mp4#posterUri=2f3700_868c4a4a7da9439bafd1d7ade7191cddf001.jpg&posterWidth=1280&posterHeight=720","170","wix:image://v1/2f3700_bfc09533a0a94db9a99ad38ee53b1fcc~mv2.jpg/bg.jpg#originWidth=320&originHeight=240","2026-04-12T18:25:32Z","work-row-0058","2026-04-12T18:25:35Z","2026-04-25T04:30:37Z","user-0242","","true"
"お砂糖mogmog","","257","wix:image://v1/3927ac_d46483e436dc420492f1dcc3b35520e8~mv2.jpg/bg.jpg#originWidth=400&originHeight=400","2026-04-29T05:43:03Z","work-row-0059","2026-04-29T05:43:04Z","2026-05-09T18:20:21Z","user-0216","","true"
"インテグラル・ラボラトリ","","133","wix:image://v1/93cd6a_1ade3ecb038f40f59532d58b63edf476~mv2.jpg/bg.jpg#originWidth=1200&originHeight=1200","2026-04-10T19:50:11Z","work-row-0060","2026-04-10T19:50:11Z","2026-04-25T04:29:43Z","user-0287","","true"
"memeしい","wix:video://v1/525d5e_e69d5fac00284531ae629264173920bc/pv.mp4#posterUri=525d5e_e69d5fac00284531ae629264173920bcf001.jpg&posterWidth=1280&posterHeight=720","204","wix:image://v1/525d5e_2ed983b26aa8464a9089f0841cc3ad0b~mv2.jpg/bg.jpg#originWidth=640&originHeight=640","2026-04-17T12:12:23Z","work-row-0061","2026-04-17T12:12:24Z","2026-05-09T18:19:09Z","user-0220","","true"
"いますぐ輪廻","wix:video://v1/3f5d6e_aa7ed4658e1f47cbb176fee148352601/Video_1775993536858_291.mp4#posterUri=3f5d6e_aa7ed4658e1f47cbb176fee148352601f001.jpg&posterWidth=1280&posterHeight=720","162","wix:image://v1/3f5d6e_7c02ff6c709849b8a344dd496ae37738~mv2.jpg/1896063016.jpg#originWidth=1600&originHeight=1600","2026-04-12T11:52:15Z","work-row-0062","2026-04-12T11:52:16Z","2026-05-03T07:29:08Z","user-0086","","true"
"ジェーンは凍っていた","","165","wix:image://v1/b3942a_b6378c38655b480ea1f6285f145e0ef4~mv2.jpg/bg.jpg#originWidth=640&originHeight=640","2026-04-12T16:16:11Z","work-row-0063","2026-04-12T16:16:12Z","2026-04-26T04:52:58Z","user-0104","","true"
"Supernova","wix:video://v1/7f4080_21d0e6a5c7d445fd809fc7854d217319/bg.mp4#posterUri=7f4080_21d0e6a5c7d445fd809fc7854d217319f001.jpg&posterWidth=854&posterHeight=480","286","wix:image://v1/7f4080_4aad807c11934ac3aa58ac251c827b36~mv2.jpg/bg.jpg#originWidth=1400&originHeight=1400","2026-05-03T02:25:47Z","work-row-0064","2026-05-03T02:25:49Z","2026-05-09T18:21:34Z","user-0266","","true"
"蜘華室","wix:video://v1/e39c8a_cc82cbc6635b4e1681a87080a98687ef/bg.mp4#posterUri=e39c8a_cc82cbc6635b4e1681a87080a98687eff001.jpg&posterWidth=600&posterHeight=600","287","wix:image://v1/e39c8a_4ffd98cb4ad049beb8bfb2e4e840cd87~mv2.jpg/bg.jpg#originWidth=1280&originHeight=1280","2026-05-03T03:01:18Z","work-row-0065","2026-05-03T03:01:20Z","2026-05-03T03:01:39Z","user-0017","",""
"ボイドロイド","wix:video://v1/a57c7b_10700a6bca484de1b153483026c70284/bg.mp4#posterUri=a57c7b_10700a6bca484de1b153483026c70284f001.jpg&posterWidth=1920&posterHeight=1080","48","wix:image://v1/a57c7b_54ec1d8a968947c3a73333e8cd468f57~mv2.jpg/bg.jpg#originWidth=640&originHeight=640","2026-04-09T14:45:03Z","work-row-0066","2026-04-09T14:45:03Z","2026-05-09T18:14:40Z","user-0004","","true"
